ad_cv_id,question,answer
154645787-441320,có con đang học hay đang làm?,Chưa  già đình ạ  [ 3 D ]
154645787-460036,có con đang học hay đang làm?,Chưa lập gia đình
154645787-489112,có con đang học hay đang làm?,Không
154645787-2858590,có con đang học hay đang làm?,Không có
154645787-2865609,có con đang học hay đang làm?,con đi học lop 5
154645787-2921247,có con đang học hay đang làm?,độc thân
154645787-3096104,có con đang học hay đang làm?,"còn nhỏ 4tuoi
"
158239778-2990757,công việc nào trước đây em yêu thích nhất?,Vệ Sĩ
158239778-2990757,mức thu nhập mà e mong muốn là bao nhiêu?,10.000.000
158239778-2993577,công việc nào trước đây em yêu thích nhất?,Chăm sóc cây cảnh
158239778-2993577,mức thu nhập mà e mong muốn là bao nhiêu?,7tr đến 9tr
158196611-3165271,bạn có thể bắt đầu công việc vào thời gian nào?,Đầu tháng 8 có thể bắt đầu ạ
155975439-2909157,deal lớn nhất bạn thực hiện trị giá bao nhiêu?,500
155975439-2940423,deal lớn nhất bạn thực hiện trị giá bao nhiêu?,Không có
139765599-470476,"bạn có kinh nghiệm về barista chứ? bạn từng làm barista tại quán, cửa hàng coffee nào rồi?",Dạ có ạ . em từng làm cho quán Kafa Café quận 3
139765599-470476,các loại nước uống nào là thế mạnh của bạn?,Dạ là Đá xay
139765599-470476,"bạn cam kết làm ít nhất 6 tháng được chứ?
mức lương mong muốn của bạn?",23-25k
139765599-472736,"bạn có kinh nghiệm về barista chứ? bạn từng làm barista tại quán, cửa hàng coffee nào rồi?",dạ em có kinh nghiệm pha nước tại phuc long rồi ạ
139765599-472736,các loại nước uống nào là thế mạnh của bạn?,các loại cà phê
139765599-472736,"bạn cam kết làm ít nhất 6 tháng được chứ?
mức lương mong muốn của bạn?",30k/1
139765599-482303,"bạn có kinh nghiệm về barista chứ? bạn từng làm barista tại quán, cửa hàng coffee nào rồi?",cf nhà quận1
139765599-482303,các loại nước uống nào là thế mạnh của bạn?,cf sữa . bạc xĩu . cf sữa tươi
139765599-482303,bạn cam kết làm ít nhất 6 tháng?,cảm kết lâu dài
139765599-482303,ưu và nhược điểm của bạn?,không có
139765599-482303,mức lương mong muốn của bạn?,5-6tr
139765599-2809422,"bạn từng làm barista tại quán, cửa hàng coffee nào rồi?","Milano coffee, Gác gỗ coffee"
139765599-2811734,"bạn từng làm barista tại quán, cửa hàng coffee nào rồi?",Làm 4 năm tại The caffenia khu vực Trung Sơn
139765599-2840089,"bạn từng làm barista tại quán, cửa hàng coffee nào rồi?",Gà cà phê - Thegarden ( ở quê )
139765599-2852262,"bạn từng làm barista tại quán, cửa hàng coffee nào rồi?",đã từng làm qua 3 quán coffee
139765599-2858950,"bạn từng làm barista tại quán, cửa hàng coffee nào rồi?",từng làm quán Anna coffee quận Gò Vấp. yu sugar bà rịa vũng tàu. Sen Coffee khu thương mại Sen Hồng Bến Tre
139765599-2871305,"bạn từng làm barista tại quán, cửa hàng coffee nào rồi?",Dạ Katinat Saigon
139765599-2878160,"bạn từng làm barista tại quán, cửa hàng coffee nào rồi?",Em đã từng làm barista tại nhà hàng tích hợp với khu vui chơi Peekaboo tại Phú Mỹ Hưng và những quán cafe gia đình ạ.
139765599-2904375,"bạn từng làm barista tại quán, cửa hàng coffee nào rồi?","Oromia Coffee & Lough , Thức Coffee,..."
139765599-2960584,"bạn có kinh nghiệm về barista chứ? bạn từng làm barista tại quán, cửa hàng coffee nào rồi?","dạ rồi ạ , khá nhiều công việc e làm phục vụ vs pha chế "
139765599-2960584,các loại nước uống nào là thế mạnh của bạn?,"trừ nước ép , sinh tố còn lại em làm được "
