ad_cv_id,question,answer,score
154645787-441320,có con đang học hay đang làm?,Chưa  già đình ạ  [ 3 D ],0.00
154645787-460036,có con đang học hay đang làm?,Chưa lập gia đình,0.00
154645787-489112,có con đang học hay đang làm?,Không,0.00
154645787-2858590,có con đang học hay đang làm?,Không có,0.00
154645787-2865609,có con đang học hay đang làm?,con đi học lop 5,0.00
154645787-2921247,có con đang học hay đang làm?,độc thân,0.00
154645787-3096104,có con đang học hay đang làm?,"còn nhỏ 4tuoi
",0.00
158239778-2990757,công việc nào trước đây em yêu thích nhất?,Vệ Sĩ,0.00
158239778-2990757,mức thu nhập mà e mong muốn là bao nhiêu?,10.000.000,0.00
158239778-2993577,công việc nào trước đây em yêu thích nhất?,Chăm sóc cây cảnh,1.00
158239778-2993577,mức thu nhập mà e mong muốn là bao nhiêu?,7tr đến 9tr,0.75
158196611-3165271,bạn có thể bắt đầu công việc vào thời gian nào?,Đầu tháng 8 có thể bắt đầu ạ,1.00
155975439-2909157,deal lớn nhất bạn thực hiện trị giá bao nhiêu?,500,0.00
155975439-2940423,deal lớn nhất bạn thực hiện trị giá bao nhiêu?,Không có,0.00
139765599-470476,"bạn có kinh nghiệm về barista chứ? bạn từng làm barista tại quán, cửa hàng coffee nào rồi?",Dạ có ạ . em từng làm cho quán Kafa Café quận 3,1.00
139765599-470476,các loại nước uống nào là thế mạnh của bạn?,Dạ là Đá xay,0.00
139765599-470476,"bạn cam kết làm ít nhất 6 tháng được chứ?
mức lương mong muốn của bạn?",23-25k,0.00
139765599-472736,"bạn có kinh nghiệm về barista chứ? bạn từng làm barista tại quán, cửa hàng coffee nào rồi?",dạ em có kinh nghiệm pha nước tại phuc long rồi ạ,0.75
139765599-472736,các loại nước uống nào là thế mạnh của bạn?,các loại cà phê,0.00
139765599-472736,"bạn cam kết làm ít nhất 6 tháng được chứ?
mức lương mong muốn của bạn?",30k/1,0.00
139765599-482303,"bạn có kinh nghiệm về barista chứ? bạn từng làm barista tại quán, cửa hàng coffee nào rồi?",cf nhà quận1,0.25
139765599-482303,các loại nước uống nào là thế mạnh của bạn?,cf sữa . bạc xĩu . cf sữa tươi,0.00
139765599-482303,bạn cam kết làm ít nhất 6 tháng?,cảm kết lâu dài,0.00
139765599-482303,ưu và nhược điểm của bạn?,không có,0.00
139765599-482303,mức lương mong muốn của bạn?,5-6tr,0.75
139765599-2809422,"bạn từng làm barista tại quán, cửa hàng coffee nào rồi?","Milano coffee, Gác gỗ coffee",1.00
139765599-2811734,"bạn từng làm barista tại quán, cửa hàng coffee nào rồi?",Làm 4 năm tại The caffenia khu vực Trung Sơn,0.95
139765599-2840089,"bạn từng làm barista tại quán, cửa hàng coffee nào rồi?",Gà cà phê - Thegarden ( ở quê ),0.75
139765599-2852262,"bạn từng làm barista tại quán, cửa hàng coffee nào rồi?",đã từng làm qua 3 quán coffee,0.75
139765599-2858950,"bạn từng làm barista tại quán, cửa hàng coffee nào rồi?",từng làm quán Anna coffee quận Gò Vấp. yu sugar bà rịa vũng tàu. Sen Coffee khu thương mại Sen Hồng Bến Tre,0.67
139765599-2871305,"bạn từng làm barista tại quán, cửa hàng coffee nào rồi?",Dạ Katinat Saigon,0.75
139765599-2878160,"bạn từng làm barista tại quán, cửa hàng coffee nào rồi?",Em đã từng làm barista tại nhà hàng tích hợp với khu vui chơi Peekaboo tại Phú Mỹ Hưng và những quán cafe gia đình ạ.,0.95
139765599-2904375,"bạn từng làm barista tại quán, cửa hàng coffee nào rồi?","Oromia Coffee & Lough , Thức Coffee,...",Score: 1.00
139765599-2960584,"bạn có kinh nghiệm về barista chứ? bạn từng làm barista tại quán, cửa hàng coffee nào rồi?","dạ rồi ạ , khá nhiều công việc e làm phục vụ vs pha chế ",0.75
139765599-2960584,các loại nước uống nào là thế mạnh của bạn?,"trừ nước ép , sinh tố còn lại em làm được ",0.75
139765599-2960584,"bạn cam kết làm ít nhất 6 tháng được chứ?
mức lương mong muốn của bạn?",dạ,0.00
139765599-2962032,"bạn có kinh nghiệm về barista chứ? bạn từng làm barista tại quán, cửa hàng coffee nào rồi?",Em đã làm việc tại highlands coffee,0.75
139765599-2962032,các loại nước uống nào là thế mạnh của bạn?,Em đã có kinh nghiệm làm những món cơ bản trong quầy bar ạ,0.00
139765599-2962032,"bạn cam kết làm ít nhất 6 tháng được chứ?
mức lương mong muốn của bạn?","Nếu công việc phù hợp thì e sẽ làm việc ít nhất 6 tháng đến 1 năm ạ 
Mức lương e mong muốn là 27k-30k/1h ạ ",0.75
139765599-2969255,"bạn có kinh nghiệm về barista chứ? bạn từng làm barista tại quán, cửa hàng coffee nào rồi?",Em có hơn 1 năm kinh nghiệm ở viva star với vọ trí pha chế,0.75
139765599-2969255,các loại nước uống nào là thế mạnh của bạn?,"Cà phê,đá xay ",0.00
139765599-2969255,"bạn cam kết làm ít nhất 6 tháng được chứ?
mức lương mong muốn của bạn?",22k/h trở lên và mong muốn có thể đi lâu dài với quán,0.25
139765599-2989017,"bạn có kinh nghiệm về barista chứ? bạn từng làm barista tại quán, cửa hàng coffee nào rồi?",Dạ chưa,0.00
139765599-2989017,các loại nước uống nào là thế mạnh của bạn?,Cà phê và các loại nước giải khát,0.75
139765599-2989017,"bạn cam kết làm ít nhất 6 tháng được chứ?
mức lương mong muốn của bạn?","Dạ cam kết làm ít nhất 6 tháng ạ
Mức lương mong muốn của em là 7 triệu",0.75
139765599-2990854,"bạn có kinh nghiệm về barista chứ? bạn từng làm barista tại quán, cửa hàng coffee nào rồi?","Đã có kinh nghiệm và từng làm việc tại Highlands, LIAS",Score: 1.00
139765599-2990854,các loại nước uống nào là thế mạnh của bạn?,"Coffe, trà, đá xay",0.33
